Team Name,Boston Fleet,Montreal Victoire,New York Sirens,Toronto Sceptres,Ottawa Charge,Vancouver Goldeneyes,Seattle Torrent,Minnesota Frost
thepdub,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Emerance Maschmeyer (G),Julia Gosling (F),Mae Batherson (D)
the mighty pucks,Abby Newhook (F) R,Marie-Philip Poulin (F),Kayla Vespa (F),Natalie Spooner (F),Jocelyne Larocque (D),Sarah Nurse (F),Megan Carter (D),Cameron Slichk (D)
monaghan,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Abby Hustler (F) R
killaJillaz,Jill Saulnier (F),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
kacey77,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Abby Hustler (F) R
blulyner ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Julia Gosling (F),Abby Hustler (F) R
agent 007 ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
Ziggy's Zingers,Jamie Lee Rattray (F),Laura Stacey (F),Kristin O’Neill (F),Raygan Kirk (G),Emily Clark (F),Claire Thompson (D),Jenna Buglioni (F) R,Mae Batherson (D)
Zelion's,Jill Saulnier (F),Marie-Philip Poulin (F),Sarah Fillier (F),Elaine Chuli (G),Jocelyne Larocque (D),Sophie Jaques (D),Danielle Serdachny (F),Alyssa Machado (F)
Zamboni girl,Kaitlyn Ross (G),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Jocelyne Larocque (D),Sarah Nurse (F),Megan Carter (D),Kendall Cooper (D) R
Winter Storm,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Maddi Wheeler (F) R,Renata Fast (D),Jocelyne Larocque (D),Hannah Miller (F),Jessie Eldridge (F),Kendall Cooper (D) R
Whitewood Stars,Loren Gabel (F),Laura Stacey (F),Kristin O’Neill (F),Natalie Spooner (F),Emily Clark (F),Sophie Jaques (D),Mikyla Grant-Mentis (F),Alyssa Machado (F)
Where Mama Keeps The Peanut Butter...,Jamie Lee Rattray (F),Erin Ambrose (D),Sarah Fillier (F),Raygan Kirk (G),Brianne Jenner (F),Sarah Nurse (F),Danielle Serdachny (F),Kendall Cooper (D) R
What the helly,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Micah Zandee-Hart (D),Natalie Spooner (F),Emily Clark (F),Sarah Nurse (F),Julia Gosling (F),Abby Hustler (F) R
Westcoast ,Sophie Shirley (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Brianne Jenner (F),Sophie Jaques (D),Jenna Buglioni (F) R,Kendall Cooper (D) R
West Coast Reign,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Mae Batherson (D)
We stand on Gardiner for thee,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Jennifer Gardiner (F),Carly Jackson (G),Mae Batherson (D)
We Will Larocque You,Loren Gabel (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
Watt’s Goin’ On,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Hannah Miller (F),Corinne Schroeder (G),Abby Hustler (F) R
Warriors,Loren Gabel (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Ella Shelton (D),Brianne Jenner (F),Sarah Nurse (F),Danielle Serdachny (F),Kendall Cooper (D) R
Walters warriors,Jamie Lee Rattray (F),Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Jessie Eldridge (F),Kendall Cooper (D) R
Walter Cup Contenders ,Loren Gabel (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Kendall Cooper (D) R
Vulcan,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Emma Maltais (F),Logan Angers (G),Claire Thompson (D),Megan Carter (D),Marlène Boissonnault (G)
Vixens ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Jennifer Gardiner (F),Corinne Schroeder (G),Vanessa Upson (F)
Victoire ,Olivia Muhn (D),Marie-Philip Poulin (F),Maddi Wheeler (F) R,Blayre Turnbull (F),Emily Clark (F),Brianna Brooks (F) R,Carly Jackson (G),Mae Batherson (D)
Vichaptrey Sirstorfle,Jamie Lee Rattray (F),Laura Stacey (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Kendall Cooper (D) R
Vegas2006,Rylind MacKinnon (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Sarah Nurse (F),Megan Carter (D),Kendall Cooper (D) R
Vegas Winners,Kaitlyn Ross (G),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Sarah Nurse (F),Danielle Serdachny (F),Kendall Cooper (D) R
Vanadium Valour,Abby Newhook (F) R,Ann-Renée Desbiens (G),Kristin O’Neill (F),Ella Shelton (D),Jocelyne Larocque (D),Jennifer Gardiner (F),Mikyla Grant-Mentis (F),Abby Hustler (F) R
V for Victory,Zoe Boyd (D),Marie-Philip Poulin (F),Kristin O’Neill (F),Daryl Watts (F),Emily Clark (F),Jennifer Gardiner (F),Danielle Serdachny (F),Kendall Cooper (D) R
Ultimate,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Blayre Turnbull (F),Emily Clark (F),Sarah Nurse (F),Jessie Eldridge (F),Abby Hustler (F) R
Two Rooks Are Better Than One Knight,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Jessie Eldridge (F),Abby Hustler (F) R
True North,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Anne Cherkowski (F) R,Allie Munroe (D),Brooke Hobson (D),Hannah Miller (F),Jessie Eldridge (F),Alyssa Machado (F)
Triggersgals,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Anne Cherkowski (F) R,Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Mae Batherson (D)
Trash Pandas ,Abby Newhook (F) R,Marie-Philip Poulin (F),Maddi Wheeler (F) R,Natalie Spooner (F),Emily Clark (F),Sarah Nurse (F),Julia Gosling (F),Abby Hustler (F) R
Toronto sixes,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Dayle Ross (D) R,Renata Fast (D),Emily Clark (F),Kristen Campbell (G),Jessie Eldridge (F),Abby Hustler (F) R
Toronto sceptres ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Julia Gosling (F),Vanessa Upson (F)
Toronto Schecters,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Sarah Nurse (F),Julia Gosling (F),Kendall Cooper (D) R
Toronto Paws,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Olivia Knowles (D),Blayre Turnbull (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Julia Gosling (F),Kendall Cooper (D) R
Toronto ,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Jaime Bourbonnais (D),Natalie Spooner (F),Brianne Jenner (F),Sarah Nurse (F),Megan Carter (D),Cameron Slichk (D)
Top shelf,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
Top Shelf Terrors,Jamie Lee Rattray (F),Nicole Gosling (D),Olivia Knowles (D),Natalie Spooner (F),Brianne Jenner (F),Kristen Campbell (G),Lexie Adzija (F),Abby Hustler (F) R
Top Shelf,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Vanessa Upson (F)
Tobermory Tempest,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
Tobermory Blue,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Jocelyne Larocque (D),Emerance Maschmeyer (G),Danielle Serdachny (F),Abby Hustler (F) R
Thunders,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Vanessa Upson (F)
